"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violets-cottage/","200","Norfolk Holiday Cottage to rent in Binham - Violet's Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/easterly/","200","Norfolk Holiday Cottage to rent in Burnham Market - Easterly","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/fayette/","200","Norfolk Holiday Cottage to rent in North Creake - Fayette","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-manor-farm-barns/","200","Norfolk Holiday Cottage to rent in Brancaster - 1 Manor Farm Barns","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/school-pastures-2-bedrooms/","200","Norfolk Holiday Cottage to rent in Burnham Deepdale - School Pastures 2 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/lark-house/","200","Norfolk Holiday Cottage to rent in Burnham Market - Lark House","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres-2-bedrooms/","200","Norfolk Holiday Cottage to rent in Houghton Estate - Washmeres 2 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mallards/","200","Norfolk Holiday Cottage to rent in Burnham Market - Mallards","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-manor-farm-barns-3-bedrooms/","200","Norfolk Holiday Cottage to rent in Brancaster - 1 Manor Farm Barns 3 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/tarnside/","200","Norfolk Holiday Cottage to rent in Docking - Tarnside","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aspall-escape/","200","Norfolk Holiday Cottage to rent in Burnham Market - Aspall Escape","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hope-cottage/","200","Norfolk Holiday Cottage to rent in Holme-next-the-Sea - Hope Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill/","200","Norfolk Holiday Cottage to rent in Binham - Old Mill","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/scotts-cottage-4-bedrooms/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Scott's Cottage 4 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/amber-cottage/","200","Norfolk Holiday Cottage to rent in Burnham Market - Amber Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mallards-2-bedrooms/","200","Norfolk Holiday Cottage to rent in Burnham Market - Mallards 2 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/cockleshed-house/","200","Norfolk Holiday Cottage to rent in Brancaster Staithe - Cockleshed House","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/salt-marsh/","200","Norfolk Holiday Cottage to rent in Thornham - Salt Marsh","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/louisa-barn/","200","Norfolk Holiday Cottage to rent in Burnham Market - Louisa Barn","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/olives-cottage/","200","Norfolk Holiday Cottage to rent in Burnham Market - Olive's Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-cartshed-6-marshland-barns-2-bedrooms/","200","Norfolk Holiday Cottage to rent in Titchwell - The Cartshed 6 Marshland Barns 2 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/basils-barn/","200","Norfolk Holiday Cottage to rent in Burnham Market - Basil's Barn","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/school-pastures-6-bedrooms/","200","Norfolk Holiday Cottage to rent in Burnham Deepdale - School Pastures 6 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/bell-view-cottage/","200","Norfolk Holiday Cottage to rent in Burnham Market - Bell View Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/greystones/","200","Norfolk Holiday Cottage to rent in Holme-next-the-Sea - Greystones","Indexable",""
