"Site Crawled","https://www.sowerbysholidaycottages.co.uk/"
"Start Date","2026-05-08"
"Start Time","14:17:02"
"Last Modified Date","2026-05-08"
"Last Modified Time","14:18:42"
"Elapsed","00:01:40"
"Report Date","2026-05-08"
"Report Time","14:30:55"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"ARIA Commands Require Accessible Name","0","0.00%","353",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","353",""
"ARIA Input Fields Require Accessible Name","0","0.00%","353",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","353",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","353",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","353",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","353",""
"ARIA Roles Require Valid Values","0","0.00%","353",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","353",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","353",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","353",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","353",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","353",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","353",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","353",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","353",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","353",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","353",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","353",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","353",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","353",""
"Page Requires One Main Landmark","0","0.00%","353",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","353",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","353",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","353",""
"Page Requires At Most One Main Landmark","0","0.00%","353",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","353",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","353",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","353",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","353",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","353",""
"Form <input> Elements Require Labels","0","0.00%","353",""
"Form Elements Should Have Visible Label","0","0.00%","353",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","353",""
"Frames Require Title Attribute","0","0.00%","353",""
"Frames Require Unique Title Attribute","0","0.00%","353",""
"Frames Should Be Tested With axe-core","0","0.00%","353",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","353",""
"Page Must Contain <title>","0","0.00%","353",""
"Page Must Contain <h1>","0","0.00%","353",""
"Heading Levels Should Only Increase By One","0","0.00%","353",""
"Headings Should Not Be Empty","0","0.00%","353",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","353",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","353",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","353",""
"HTML Element Requires Lang Attribute","0","0.00%","353",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","353",""
"Lang Attribute Requires Valid Value","0","0.00%","353",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","353",""
"Timed Meta Refresh Must Not Exist","0","0.00%","353",""
"Image Button Requires Alternate Text","0","0.00%","353",""
"Images Require Alternate Text","0","0.00%","353",""
"<object> Elements Require Alternate Text","0","0.00%","353",""
"Active <area> Elements Require Alternate Text","0","0.00%","353",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","353",""
"Elements Marked role=img Require Alternate Text","0","0.00%","353",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","353",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","353",""
"<video> Elements Require <track> For Captions","0","0.00%","353",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","353",""
"Buttons Require Discernible Text","0","0.00%","353",""
"Input Buttons Require Discernible Text","0","0.00%","353",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","353",""
"Links Must Be Distinguishable","0","0.00%","353",""
"Links Require Discernible Text","0","0.00%","353",""
"Links With Same Accessible Name","0","0.00%","353",""
"Select Element Requires Accessible Name","0","0.00%","353",""
"Summary Elements Require Discernible Text","0","0.00%","353",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","353",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","353",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","353",""
"Text Requires Higher Color Contrast to Background","0","0.00%","353",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","353",""
"Interactive Controls Must Not Be Nested","0","0.00%","353",""
"List Items Must Be Contained In List Elements","0","0.00%","353",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","353",""
